国家,累计确诊人数
Afghanistan,1351
Albania,678
Algeria,3127
Andorra,731
Angola,25
Anguilla,3
Antigua and Barb.,24
Argentina,3423
Armenia,1677
Aruba,100
Australia,6687
Austria,15068
Azerbaijan,1592
Bahamas,73
Bahrain,2518
Bangladesh,4689
Barbados,76
Belarus,8773
Belgium,44293
Belize,18
Benin,58
Bermuda,99
Bhutan,7
Bolivia,807
Bonaire Sint Eustatius and Saba,6
Bosnia and Herz.,1420
Botswana,22
Brazil,52995
British Virgin Islands,6
Brunei,138
Bulgaria,1188
Burkina Faso,626
Burundi,12
Cambodia,122
Cameroon,1403
Canada,43877
Cape Verde,88
Cayman Is.,66
Central African Rep.,19
Chad,40
Chile,12306
China,83899
Colombia,4881
Congo,200
Costa Rica,687
Côte d'Ivoire,1077
Croatia,2009
Cuba,1285
Curaçao,16
Cyprus,804
Czech Rep.,7273
Dem. Rep. Congo,416
Denmark,8210
Djibouti,999
Dominica,16
Dominican Rep.,5749
Ecuador,11183
Egypt,4092
El Salvador,261
Eq. Guinea,212
Eritrea,39
Estonia,1605
Ethiopia,117
Faeroe Is.,187
Falkland Is.,12
Fiji,18
Finland,4395
France,122577
Fr. Polynesia,57
Gabon,172
Gambia,10
Georgia,444
Germany,152438
Ghana,1279
Gibraltar,133
Greece,2490
Greenland,11
Grenada,15
Guam,141
Guatemala,430
Guernsey,245
Guinea,954
Guinea-Bissau,52
Guyana,73
Haiti,72
Honduras,591
Hungary,2443
Iceland,1789
India,24506
Indonesia,8211
Iran,88194
Iraq,1708
Ireland,18184
Isle of Man,308
Israel,15058
Italy,192994
Jamaica,288
Japan,12892
Jersey,278
Jordan,441
Kazakhstan,2482
Kenya,336
Kosovo,703
Kuwait,2614
Kyrgyzstan,665
Lao PDR,19
Latvia,784
Lebanon,696
Liberia,117
Libya,61
Liechtenstein,82
Lithuania,1410
Luxembourg,3695
Macedonia,1326
Madagascar,122
Malawi,33
Malaysia,5691
Maldives,128
Mali,325
Malta,447
Mauritania,7
Mauritius,331
Mexico,12872
Moldova,3110
Monaco,94
Mongolia,36
Montenegro,319
Montserrat,11
Morocco,3758
Mozambique,65
Myanmar,144
Namibia,16
Nepal,49
Netherlands,36535
New Caledonia,18
New Zealand,1117
Nicaragua,11
Niger,681
Nigeria,1095
N. Mariana Is.,14
Norway,7408
Oman,1790
Pakistan,11940
Palestine,340
Panama,5338
Papua New Guinea,8
Paraguay,223
Peru,21648
Philippines,7192
Poland,10892
Portugal,22797
Puerto Rico,1416
Qatar,8525
Romania,10417
Russia,68622
Rwanda,176
Saint Kitts and Nevis,15
Saint Lucia,15
St. Vin. and Gren.,14
San Marino,513
São Tomé and Principe,8
Saudi Arabia,15102
Senegal,545
Serbia,7483
Seychelles,11
Sierra Leone,82
Singapore,11178
Sint Maarten (Dutch part),73
Slovakia,1360
Slovenia,1373
Somalia,328
South Africa,4220
Korea,10718
S. Sudan,5
Spain,219764
Sri Lanka,420
Sudan,174
Suriname,10
Swaziland,40
Sweden,17567
Switzerland,28595
Syria,42
Tanzania,300
Thailand,2854
Timor,24
Togo,90
Trinidad and Tobago,115
Tunisia,922
Turkey,104912
Turks and Caicos Is.,11
Uganda,75
Ukraine,8125
United Arab Emirates,9281
United Kingdom,143464
United States,890524
U.S. Virgin Is.,54
Uruguay,563
Uzbekistan,1836
Vatican,9
Venezuela,318
Vietnam,272
Yemen,1
Zambia,84
Zimbabwe,29
