国家,阳性率
各国平均,0.09912959349416564
阿尔及利亚,0.6607692307692308
厄瓜多尔,0.37149156623246626
摩尔多瓦,0.34446994814248066
巴西,0.2843717604372821
多米尼加,0.25174407016145106
墨西哥,0.22743124095275694
阿富汗,0.22307553306830502
巴拿马,0.21069133092961279
伊朗,0.19905023517101753
比利时,0.18972321414887586
瑞典,0.18478661087866108
荷兰,0.17811499829569852
美国,0.16738924213031142
英国,0.16130531096807083
西班牙,0.16062382222257107
法国,0.15305554848631375
卡塔尔,0.14424877464774322
尼日利亚,0.1308174584036653
爱尔兰,0.12502287795863665
新加坡,0.12192969656542917
摩洛哥,0.12012599385271928
秘鲁,0.1196105780587395
孟加拉,0.11555754213446218
土耳其,0.11191182742678829
瑞士,0.10941396164286687
印度尼西亚,0.10045116404028052
意大利,0.0992622948098881
亚美尼亚,0.09821968714890675
巴基斯坦,0.09812286249284273
塞尔维亚,0.0968780073884744
乌克兰,0.09295978884254431
智利,0.09245235707121364
日本,0.08214183175423485
白俄罗斯,0.08099063603336233
卢森堡,0.08032026970080068
菲律宾,0.07762668243313742
沙特阿拉伯,0.07492899713045398
阿根廷,0.07096107475025835
埃及,0.06881111111111111
罗马尼亚,0.06682061509394353
加拿大,0.06586095313395568
德国,0.06476781785373836
哥伦比亚,0.06430472693896283
阿曼,0.06137077040955041
葡萄牙,0.059015640667610045
奥地利,0.057703648481746465
克罗地亚,0.055595494847831294
芬兰,0.05084479371316306
挪威,0.04520065358719711
丹麦,0.04239067738563034
以色列,0.04149765910640938
印度,0.04066008236690657
匈牙利,0.03698256464406481
波兰,0.036542417892260655
马来西亚,0.03352640693110692
希腊,0.03350083752093802
俄罗斯,0.03144175238840629
捷克,0.030532727143791415
南非,0.027465906036777264
科威特,0.025804469273743018
巴林,0.023565882572441407
伊拉克,0.02258455212563484
加纳,0.019110637285567018
韩国,0.01730145457405199
泰国,0.016655155180449566
哈萨克斯坦,0.013635624438772264
阿联酋,0.0113325
澳大利亚,0.011090890361569893
乌兹别克斯坦,0.008732724214137283
