国家,本周较上周新增确诊人数增速
全球平均,0.0687227726729378
厄瓜多尔,6.760339943342776
墨西哥,0.978554932365556
科威特,0.9112227805695143
卡塔尔,0.9078947368421053
巴基斯坦,0.905595736581652
沙特阿拉伯,0.8922423956614005
白俄罗斯,0.8844496670583628
新加坡,0.8145139453019226
希腊,0.7597402597402598
孟加拉,0.7172081829121539
俄罗斯,0.628463096212676
哥伦比亚,0.49275362318840576
印度,0.45148433205057725
秘鲁,0.44096671949286836
巴西,0.37831900069047775
阿联酋,0.36827747466874516
南非,0.3190854870775348
哈萨克斯坦,0.31466666666666665
加拿大,0.20404040404040402
荷兰,-0.21948160535117056
伊朗,-0.2194851923609189
挪威,-0.27113237639553434
菲律宾,-0.272453285111513
塞尔维亚,-0.3171384850803366
德国,-0.329064763304293
爱尔兰,-0.34768439108061755
卢森堡,-0.348314606741573
瑞士,-0.35132781889420983
克罗地亚,-0.3825503355704698
马来西亚,-0.43612903225806454
奥地利,-0.4485549132947977
法国,-0.48587610124458114
澳大利亚,-0.5038167938931297
韩国,-0.6242774566473989
中国,-0.8229426433915212
