国家,本周较上周新增死亡人数增速
全球平均,-0.1576165398868734
科威特,1.6
芬兰,1.3414634146341462
巴基斯坦,1.192982456140351
墨西哥,1.1565495207667733
秘鲁,1.1077844311377247
阿联酋,1.0
爱尔兰,0.9601593625498008
俄罗斯,0.7777777777777777
罗马尼亚,0.3846153846153846
摩尔多瓦,0.37037037037037046
巴西,0.35121951219512204
印度,0.3047210300429184
卢森堡,0.30000000000000004
波兰,0.27338129496402885
南非,0.2592592592592593
加拿大,0.21936274509803932
塞尔维亚,-0.2093023255813954
捷克,-0.28846153846153844
瑞士,-0.3042168674698795
比利时,-0.3051732320835311
多米尼加,-0.31707317073170727
马来西亚,-0.33333333333333337
菲律宾,-0.3533333333333334
法国,-0.4006556182844655
阿尔及利亚,-0.4347826086956522
以色列,-0.4444444444444444
韩国,-0.6190476190476191
新加坡,-0.6666666666666667
泰国,-0.6666666666666667
中国,-1.0
