国家,累计死亡人数
Afghanistan,43
Albania,28
Algeria,415
Andorra,40
Angola,2
Anguilla,0
Antigua and Barb.,3
Argentina,167
Armenia,28
Aruba,2
Australia,79
Austria,513
Azerbaijan,21
Bahamas,11
Bahrain,8
Bangladesh,131
Barbados,6
Belarus,63
Belgium,6679
Belize,2
Benin,1
Bermuda,5
Bhutan,0
Bolivia,44
Bonaire Sint Eustatius and Saba,0
Bosnia and Herz.,54
Botswana,1
Brazil,3670
British Virgin Islands,1
Brunei,1
Bulgaria,54
Burkina Faso,41
Burundi,1
Cambodia,0
Cameroon,49
Canada,2302
Cape Verde,1
Cayman Is.,1
Central African Rep.,0
Chad,0
Chile,174
China,4636
Colombia,225
Congo,6
Costa Rica,6
Côte d'Ivoire,14
Croatia,51
Cuba,49
Curaçao,1
Cyprus,17
Czech Rep.,215
Dem. Rep. Congo,28
Denmark,403
Djibouti,2
Dominica,0
Dominican Rep.,267
Ecuador,576
Egypt,294
El Salvador,8
Eq. Guinea,1
Eritrea,0
Estonia,46
Ethiopia,3
Faeroe Is.,0
Falkland Is.,0
Fiji,0
Finland,177
France,22245
Fr. Polynesia,0
Gabon,3
Gambia,1
Georgia,5
Germany,5500
Ghana,10
Gibraltar,4
Greece,130
Greenland,0
Grenada,0
Guam,5
Guatemala,11
Guernsey,11
Guinea,6
Guinea-Bissau,0
Guyana,8
Haiti,5
Honduras,47
Hungary,262
Iceland,10
India,775
Indonesia,689
Iran,5574
Iraq,86
Ireland,829
Isle of Man,18
Israel,194
Italy,25969
Jamaica,7
Japan,334
Jersey,19
Jordan,7
Kazakhstan,25
Kenya,14
Kosovo,19
Kuwait,15
Kyrgyzstan,8
Lao PDR,0
Latvia,12
Lebanon,22
Liberia,8
Libya,2
Liechtenstein,1
Lithuania,40
Luxembourg,85
Macedonia,57
Madagascar,0
Malawi,3
Malaysia,96
Maldives,0
Mali,21
Malta,3
Mauritania,1
Mauritius,9
Mexico,1221
Moldova,87
Monaco,4
Mongolia,0
Montenegro,6
Montserrat,0
Morocco,158
Mozambique,0
Myanmar,5
Namibia,0
Nepal,0
Netherlands,4289
New Caledonia,0
New Zealand,18
Nicaragua,3
Niger,24
Nigeria,32
N. Mariana Is.,2
Norway,191
Oman,10
Pakistan,253
Palestine,2
Panama,154
Papua New Guinea,0
Paraguay,9
Peru,634
Philippines,477
Poland,494
Portugal,854
Puerto Rico,69
Qatar,10
Romania,552
Russia,615
Rwanda,0
Saint Kitts and Nevis,0
Saint Lucia,0
St. Vin. and Gren.,0
San Marino,40
São Tomé and Principe,0
Saudi Arabia,127
Senegal,7
Serbia,144
Seychelles,0
Sierra Leone,3
Singapore,12
Sint Maarten (Dutch part),12
Slovakia,17
Slovenia,80
Somalia,16
South Africa,79
Korea,240
S. Sudan,0
Spain,22524
Sri Lanka,7
Sudan,16
Suriname,1
Swaziland,1
Sweden,2152
Switzerland,1308
Syria,3
Tanzania,10
Thailand,50
Timor,0
Togo,6
Trinidad and Tobago,8
Tunisia,38
Turkey,2600
Turks and Caicos Is.,1
Uganda,0
Ukraine,201
United Arab Emirates,64
United Kingdom,19506
United States,51017
U.S. Virgin Is.,3
Uruguay,12
Uzbekistan,8
Vatican,0
Venezuela,10
Vietnam,0
Yemen,0
Zambia,3
Zimbabwe,4
