日期,新增确诊人数
"2020-02-01",
"2020-02-02",2841.0
"2020-02-03",3240.0
"2020-02-04",3898.0
"2020-02-05",3729.0
"2020-02-06",3176.0
"2020-02-07",3441.0
"2020-02-08",2671.0
"2020-02-09",3003.0
"2020-02-10",2485.0
"2020-02-11",2098.0
"2020-02-12",15198.0
"2020-02-13",4056.0
"2020-02-14",2702.0
"2020-02-15",2029.0
"2020-02-16",2208.0
"2020-02-17",2004.0
"2020-02-18",1761.0
"2020-02-19",516.0
"2020-02-20",1487.0
"2020-02-21",506.0
"2020-02-22",656.0
"2020-02-23",783.0
"2020-02-24",817.0
"2020-02-25",801.0
"2020-02-26",899.0
"2020-02-27",1075.0
"2020-02-28",1457.0
"2020-02-29",1897.0
"2020-03-01",1366.0
"2020-03-02",1733.0
"2020-03-03",1912.0
"2020-03-04",2245.0
"2020-03-05",2245.0
"2020-03-06",2816.0
"2020-03-07",3796.0
"2020-03-08",4016.0
"2020-03-09",4051.0
"2020-03-10",4295.0
"2020-03-11",4453.0
"2020-03-12",7156.0
"2020-03-13",8479.0
"2020-03-14",10801.0
"2020-03-15",11092.0
"2020-03-16",12929.0
"2020-03-17",12555.0
"2020-03-18",16295.0
"2020-03-19",20511.0
"2020-03-20",26191.0
"2020-03-21",37954.0
"2020-03-22",24024.0
"2020-03-23",28511.0
"2020-03-24",42989.0
"2020-03-25",42326.0
"2020-03-26",46551.0
"2020-03-27",58737.0
"2020-03-28",64622.0
"2020-03-29",68044.0
"2020-03-30",60225.0
"2020-03-31",61609.0
"2020-04-01",73533.0
"2020-04-02",76780.0
"2020-04-03",78908.0
"2020-04-04",84597.0
"2020-04-05",102620.0
"2020-04-06",71585.0
"2020-04-07",71926.0
"2020-04-08",83187.0
"2020-04-09",82778.0
"2020-04-10",88913.0
"2020-04-11",95164.0
"2020-04-12",82804.0
"2020-04-13",73794.0
"2020-04-14",71584.0
"2020-04-15",72596.0
"2020-04-16",76293.0
"2020-04-17",91842.0
"2020-04-18",75960.0
"2020-04-19",88389.0
"2020-04-20",79221.0
"2020-04-21",71412.0
"2020-04-22",77146.0
"2020-04-23",78413.0
"2020-04-24",80343.0
"2020-04-25",107882.0
"2020-04-26",93870.0
"2020-04-27",76899.0
"2020-04-28",66706.0
"2020-04-29",72300.0
"2020-04-30",79213.0
"2020-05-01",93062.0
"2020-05-02",91116.0
"2020-05-03",80733.0
"2020-05-04",87400.0
"2020-05-05",76459.0
"2020-05-06",79101.0
"2020-05-07",95674.0
"2020-05-08",93767.0
"2020-05-09",96660.0
"2020-05-10",84477.0
"2020-05-11",88462.0
