国家,病死率
全球平均,0.07030522094136792
比利时,0.15681483127006887
英国,0.1543454405793921
法国,0.1470343713627402
意大利,0.13715317587709241
荷兰,0.12394373198131027
瑞典,0.12086767502943574
匈牙利,0.11386811692726037
阿尔及利亚,0.10686845168800932
西班牙,0.10221243082335982
墨西哥,0.09508655190703505
印度尼西亚,0.07663930646500046
巴西,0.0699054464110026
菲律宾,0.06754032258064516
埃及,0.06701114161149685
伊朗,0.0638271400132714
加拿大,0.06181240991771725
爱尔兰,0.06072912731394031
罗马尼亚,0.06055607917059378
瑞士,0.059078973944657644
美国,0.05812094130222526
中国,0.05501706322874206
希腊,0.05458015267175573
阿根廷,0.050529567519858785
丹麦,0.05049431274582757
厄瓜多尔,0.049919895135450046
波兰,0.04964485981308411
哥伦比亚,0.044818726805595205
多米尼加,0.043019266297176034
伊拉克,0.04281207751239297
芬兰,0.04250386398763524
德国,0.04129310710626974
葡萄牙,0.04061135371179039
奥地利,0.03830826584393881
克罗地亚,0.036877394636015325
摩洛哥,0.036582787058574755
印度,0.033325776467921106
日本,0.031807060468367704
捷克,0.031612903225806455
尼日利亚,0.03133640552995392
喀麦隆,0.030813673567645642
摩尔多瓦,0.03060217176702863
阿富汗,0.02916160388821385
巴拿马,0.02857142857142857
秘鲁,0.028212723938496262
挪威,0.02704781438277144
土耳其,0.02682211055276382
乌克兰,0.02445009201647533
卢森堡,0.024134312696747113
韩国,0.023191094619666047
巴基斯坦,0.022973399221953527
塞尔维亚,0.02018799401837214
孟加拉,0.019908987485779295
南非,0.019412878787878788
泰国,0.01820633850303439
马来西亚,0.016677461139896373
亚美尼亚,0.014518257809062912
以色列,0.014148903305529812
澳大利亚,0.013710747456877488
智利,0.013398426905343097
俄罗斯,0.009850548954487563
阿联酋,0.008750643429663946
加纳,0.008298755186721992
科威特,0.007144403550552067
沙特阿拉伯,0.006913075925998664
哈萨克斯坦,0.0064817215452424165
白俄罗斯,0.00612838008592368
阿曼,0.004832863471606927
乌兹别克斯坦,0.00424929178470255
巴林,0.00243605359317905
新加坡,0.0009687713699566902
卡塔尔,0.0009221820245442293
