国家,本周较上周新增死亡人数增速
全球平均,-0.04677116858459329
厄瓜多尔,5.625
新加坡,4.0
卡塔尔,1.5
巴西,0.6450060168471721
印度,0.638157894736842
英国,0.6090628218331617
俄罗斯,0.47010869565217384
秘鲁,0.4204545454545454
阿联酋,0.41176470588235303
白俄罗斯,0.36363636363636354
巴基斯坦,0.3520000000000001
韩国,0.25
智利,0.19999999999999996
乌克兰,0.1470588235294117
加拿大,0.1366834170854272
墨西哥,0.11259259259259258
中国,0.0
罗马尼亚,-0.05555555555555558
沙特阿拉伯,-0.09090909090909094
日本,-0.10569105691056913
以色列,-0.1428571428571429
美国,-0.1433621366849961
伊朗,-0.1825525040387722
波兰,-0.20903954802259883
土耳其,-0.2279411764705882
西班牙,-0.23119972018188173
瑞士,-0.25108225108225113
葡萄牙,-0.2590673575129534
意大利,-0.263224580297751
荷兰,-0.2846534653465347
瑞典,-0.29955947136563876
德国,-0.30353280461427545
法国,-0.34791856578547553
奥地利,-0.3548387096774194
印度尼西亚,-0.4
比利时,-0.4207650273224044
爱尔兰,-0.5467479674796748
