国家,总检测数
美国,6907929.0
俄罗斯,3945518.0
德国,2547052.0
意大利,2108837.0
西班牙,1528833.0
阿联酋,1200000.0
英国,1129907.0
土耳其,1111366.0
法国,1100228.0
印度,976363.0
加拿大,832223.0
韩国,623069.0
澳大利亚,611583.0
伊朗,484541.0
葡萄牙,426836.0
以色列,390022.0
波兰,366013.0
秘鲁,355604.0
沙特阿拉伯,339775.0
巴西,339552.0
哈萨克斯坦,282862.0
瑞士,271501.0
奥地利,269619.0
比利时,260996.0
捷克,253826.0
乌兹别克斯坦,242536.0
南非,230686.0
荷兰,225899.0
丹麦,221912.0
智利,199400.0
白俄罗斯,195430.0
巴基斯坦,193859.0
罗马尼亚,190540.0
马来西亚,184213.0
科威特,179000.0
泰国,178083.0
日本,174150.0
挪威,172586.0
爱尔兰,169377.0
新加坡,143919.0
巴林,139354.0
乌克兰,122752.0
瑞典,119500.0
菲律宾,115012.0
加纳,113497.0
哥伦比亚,108950.0
印度尼西亚,107943.0
芬兰,101800.0
伊拉克,98253.0
卡塔尔,97727.0
塞尔维亚,96637.0
墨西哥,91188.0
埃及,90000.0
匈牙利,79551.0
希腊,78207.0
孟加拉,76066.0
厄瓜多尔,73929.0
阿根廷,63866.0
卢森堡,47460.0
阿曼,40459.0
摩洛哥,39367.0
克罗地亚,37557.0
巴拿马,31895.0
多米尼加,30102.0
亚美尼亚,23142.0
尼日利亚,16588.0
摩尔多瓦,11763.0
阿富汗,11068.0
阿尔及利亚,6500.0
